Record ID ,Division,SectionID,PWI ,OHEMas,TRDFeature,EngFeature,Remark 1,Remark 2,Latitude,Longitude,Altitude,Validity ,Speed,Satellites,ModifiedDate
1,ADI,CLDY-SBT,,505/37,T-OUT,,,,23.07736,72.54877,14.05128,,,8,03-03-2018 14:00
2,ADI,CLDY-SBT,,505/35,X-OVER,,,,23.07753,72.54927,13.95984,,,9,03-03-2018 13:58
3,ADI,CLDY-SBT,,505/33,,,,,23.07777,72.54978,13.04544,,,8,03-03-2018 13:56
4,ADI,CLDY-SBT,,505/31,ATD,,,,23.078,72.55024,13.35024,,,10,03-03-2018 13:54
5,ADI,CLDY-SBT,,505/29,,,,,23.07814,72.55066,14.9352,,,10,03-03-2018 13:53
6,ADI,CLDY-SBT,,505/27,ATD,,,,23.07837,72.55108,15.11808,,,10,03-03-2018 13:52
7,ADI,CLDY-SBT,,505/25,IOL,,,,23.07849,72.55148,18.83664,,,9,03-03-2018 13:51
8,ADI,CLDY-SBT,,505/23,SM 230,,,,23.07872,72.55206,17.46504,,,10,03-03-2018 13:11
9,ADI,CLDY-SBT,,505/21,ATD,,,,23.07892,72.55249,18.10512,,,9,03-03-2018 13:10
10,ADI,CLDY-SBT,,505/19,,ROB,,,23.07913,72.553,17.40408,,,9,03-03-2018 13:08
11,ADI,CLDY-SBT,,505/17,,,,,23.07936,72.55355,18.4404,,,10,03-03-2018 13:06
12,ADI,CLDY-SBT,,505/15,,,,,23.07961,72.55417,19.5072,,,10,03-03-2018 13:05
13,ADI,CLDY-SBT,,505/13,,,,,23.07988,72.55476,16.55064,,,10,03-03-2018 13:03
14,ADI,CLDY-SBT,,505/11,,,,,23.0801,72.55529,17.55648,,,10,03-03-2018 13:02
15,ADI,CLDY-SBT,,505/9,,,,,23.08026,72.55571,17.03832,,,9,03-03-2018 13:00
16,ADI,CLDY-SBT,,505/7,,,,,23.08041,72.55601,16.97736,,,8,03-03-2018 13:00
17,ADI,CLDY-SBT,,505/5,,ROB,,,23.08055,72.55619,17.49552,,,9,03-03-2018 12:58
18,ADI,CLDY-SBT,,505/3,,,,,23.08069,72.55662,19.08048,,,9,03-03-2018 12:57
19,ADI,CLDY-SBT,,505/1,,,,,23.0809,72.55716,17.55648,,,10,03-03-2018 12:55
20,ADI,CLDY-SBT,,504/29,,,,,23.08112,72.55768,18.22704,,,8,03-03-2018 12:54
21,ADI,CLDY-SBT,,504/27,,,,,23.0814,72.55827,17.73936,,,10,03-03-2018 12:52
22,ADI,CLDY-SBT,,504/25,,,,,23.08162,72.55892,15.30096,,,8,03-03-2018 12:50
23,ADI,CLDY-SBT,,504/23,,,,,23.08191,72.55956,14.38656,,,9,03-03-2018 12:48
24,ADI,CLDY-SBT,,504/21,,,,,23.08218,72.56016,16.002,,,8,03-03-2018 12:47
25,ADI,CLDY-SBT,,504/19,,,,,23.08247,72.56085,14.50848,,,7,03-03-2018 12:45
26,ADI,CLDY-SBT,,504/17,UIOL,,,,23.08273,72.56147,15.3924,,,8,03-03-2018 12:44
27,ADI,CLDY-SBT,,504/15,UIOL,,,,23.08301,72.5621,16.85544,,,8,03-03-2018 12:42
28,ADI,CLDY-SBT,,504/13,ATD,,,,23.08324,72.56272,17.64792,,,8,03-03-2018 12:40
29,ADI,CLDY-SBT,,504/11,,,,,23.08356,72.56338,17.25168,,,9,03-03-2018 12:37
30,ADI,CLDY-SBT,,504/9,,,,,23.08379,72.56395,18.80616,,,8,03-03-2018 12:36
31,ADI,CLDY-SBT,,504/7,,,,,23.08409,72.56458,17.9832,,,9,03-03-2018 12:34
32,ADI,CLDY-SBT,,504/5,UIOL,,,,23.08432,72.56522,17.76984,,,9,03-03-2018 12:20
33,ADI,CLDY-SBT,,504/3,ATD,,,,23.08456,72.56578,18.01368,,,8,03-03-2018 12:19
34,ADI,CLDY-SBT,,504/1,UIOL,,,,23.08484,72.56634,18.1356,,,9,03-03-2018 12:16
35,ADI,CLDY-SBT,,503/31,UIOL,,,,23.08504,72.56689,17.86128,,,9,03-03-2018 12:15
36,ADI,CLDY-SBT,,503/29,ATD,,,,23.08528,72.56739,17.16024,,,7,03-03-2018 12:13
37,ADI,CLDY-SBT,,503/27,,,,,23.08539,72.56788,16.82496,,,9,03-03-2018 12:12
38,ADI,CLDY-SBT,,503/25,,,,,23.08558,72.56835,17.55648,,,11,03-03-2018 12:10
39,ADI,CLDY-SBT,,503/23,,,,,23.08567,72.56887,18.47088,,,8,03-03-2018 12:08
40,ADI,CLDY-SBT,,503/21,,,,,23.0858,72.56949,17.89176,,,9,03-03-2018 12:06
41,ADI,CLDY-SBT,,503/19,,,,,23.08592,72.57009,17.80032,,,10,03-03-2018 12:05
42,ADI,CLDY-SBT,,503/17,,,,,23.08603,72.57064,17.6784,,,11,03-03-2018 12:02
43,ADI,CLDY-SBT,,503/15,ATD,,,,23.08606,72.57107,17.55648,,,11,03-03-2018 12:01
44,ADI,CLDY-SBT,,503/13A,IOL,,,,23.08612,72.57153,17.6784,,,9,03-03-2018 11:36
45,ADI,CLDY-SBT,,503/13,"ATD, T-OUT",,,,23.08616,72.57194,18.16608,,,8,03-03-2018 11:34
46,ADI,CLDY-SBT,,503/11A DA,UIOL,,,,23.08612,72.5724,17.64792,,,7,03-03-2018 11:33
47,ADI,CLDY-SBT,,503/11,X-OVER,,,,23.08618,72.57278,18.10512,,,8,03-03-2018 11:31
48,ADI,CLDY-SBT,,503/9,T-OUT,,,,23.08614,72.5732,17.55648,,,9,03-03-2018 11:29
49,ADI,CLDY-SBT,,503/7,,,,,23.08616,72.57373,17.58696,,,10,03-03-2018 11:27
50,ADI,CLDY-SBT,,503/5,,,,,23.08606,72.57411,16.58112,,,10,03-03-2018 11:26
51,ADI,CLDY-SBT,,503/3,,,,,23.08599,72.57471,16.002,,,9,03-03-2018 11:24
52,ADI,CLDY-SBT,,503/1,,,,,23.08594,72.57525,17.28216,,,9,03-03-2018 11:23
53,ADI,CLDY-SBT,,502/39,,,,,23.08586,72.57581,18.62328,,,11,03-03-2018 11:21
54,ADI,CLDY-SBT,,502/37,,,,,23.08571,72.57638,19.05,,,11,03-03-2018 11:20
55,ADI,CLDY-SBT,,502/35,ATD,,,,23.08558,72.57692,19.2024,,,10,03-03-2018 11:18
56,ADI,CLDY-SBT,,502/33,UIOL,,,,23.08539,72.57752,17.526,,,11,03-03-2018 11:17
57,ADI,CLDY-SBT,,502/31,UIOL,,,,23.08524,72.5781,16.6116,,,9,03-03-2018 11:14
58,ADI,CLDY-SBT,,502/29,ATD,,,,23.08504,72.57869,15.0876,,,7,03-03-2018 11:12
59,ADI,CLDY-SBT,,502/27,,,,,23.08487,72.5793,18.31848,,,9,03-03-2018 11:10
60,ADI,CLDY-SBT,,502/25,,,,,23.08465,72.57983,19.29384,,,7,03-03-2018 11:09
61,ADI,CLDY-SBT,,502/23,,,,,23.08452,72.58034,16.24584,,,8,03-03-2018 11:07
62,ADI,CLDY-SBT,,502/21,,,,,23.08429,72.5807,16.94688,,,9,03-03-2018 11:06
63,ADI,CLDY-SBT,,502/19,,,,,23.08407,72.58113,17.3736,,,9,03-03-2018 11:04
64,ADI,CLDY-SBT,,502/17,,,,,23.08388,72.58148,17.70888,,,10,03-03-2018 11:03
65,ADI,CLDY-SBT,,502/15,,,,,23.0837,72.58167,17.28216,,,10,03-03-2018 11:02
66,ADI,CLDY-SBT,,502/13,,,,,23.08352,72.58198,17.40408,,,8,03-03-2018 11:00
67,ADI,CLDY-SBT,,502/11,,,,,23.08334,72.58211,17.6784,,,10,03-03-2018 10:59
68,ADI,CLDY-SBT,,502/9,,,,,23.08307,72.58231,18.7452,,,9,03-03-2018 10:58
69,ADI,CLDY-SBT,,502/5,,,,,23.08264,72.58258,19.14144,,,8,03-03-2018 10:56
70,ADI,CLDY-SBT,,502/3,,,,,23.08213,72.58294,18.22704,,,9,03-03-2018 10:54
71,ADI,CLDY-SBT,,502/1,,,,,23.0816,72.58332,17.526,,,8,03-03-2018 10:53
72,ADI,CLDY-SBT,,501/37,,,,,23.08106,72.5837,18.25752,,,9,03-03-2018 10:51
73,ADI,CLDY-SBT,,501/35,,,,,23.0805,72.58409,17.25168,,,9,03-03-2018 10:49
74,ADI,CLDY-SBT,,501/33,,,,,23.08002,72.58441,16.79448,,,9,03-03-2018 10:35
75,ADI,CLDY-SBT,,501/31,,,,,23.07959,72.5847,16.67256,,,9,03-03-2018 10:34
76,ADI,CLDY-SBT,,501/29,,,,,23.07923,72.5849,16.3068,,,10,03-03-2018 10:33
77,ADI,CLDY-SBT,,501/27,,,,,23.07886,72.58508,16.24584,,,10,03-03-2018 10:31
78,ADI,CLDY-SBT,,501/25,,,,,23.07847,72.58524,17.25168,,,10,03-03-2018 10:30
79,ADI,CLDY-SBT,,501/23,,,,,23.07806,72.58542,17.3736,,,11,03-03-2018 10:28
80,ADI,CLDY-SBT,,501/21,,,,,23.07793,72.58547,17.3736,,,11,03-03-2018 10:27
81,ADI,CLDY-SBT,,501/19,,,,,23.07754,72.58563,15.8496,,,9,03-03-2018 10:25
82,ADI,CLDY-SBT,,501/17,,,,,23.07705,72.58575,15.75816,,,10,03-03-2018 10:23
83,ADI,CLDY-SBT,,501/15,,,,,23.07652,72.58592,15.45336,,,9,03-03-2018 10:21
84,ADI,CLDY-SBT,,501/13A,,,,,23.07591,72.58607,18.288,,,10,03-03-2018 10:16
85,ADI,CLDY-SBT,,501/11,T-OUT,,,,23.07546,72.58627,16.6116,,,9,03-03-2018 10:12
86,ADI,CLDY-SBT,,501/13,,,,,23.07549,72.58614,16.1544,,,11,03-03-2018 10:10
87,ADI,CLDY-SBT,,501/9 DA,,,,,23.07492,72.58639,18.4404,,,10,03-03-2018 10:06
88,ADI,CLDY-SBT,,501/7,,,,,23.07452,72.58645,17.09928,,,8,03-03-2018 10:04
89,ADI,CLDY-SBT,,501/5,,,,,23.07394,72.5866,14.96568,,,10,03-03-2018 10:01
90,ADI,CLDY-SBT,,501/3,,,,,23.07343,72.58677,15.20952,,,10,03-03-2018 09:58
