Record ID,Division,SectionID,PWI,OHEMas,TRDFeature,EngFeature,Remark ,Remark ,Latitude,Longitude,Altitude,Validity,Speed,Satellites,ModifiedDate
164,ADI,GNC-KLL,,010/2,,,,,23.26975,72.58572,22.95144,,,8,03-07-2018 10:08
165,ADI,GNC-KLL,,010/1,,,,,23.26945,72.58521,22.7076,,,9,03-07-2018 10:06
166,ADI,GNC-KLL,,009/16,,,,,23.26914,72.58466,23.40864,,,9,03-07-2018 10:05
167,ADI,GNC-KLL,,009/15,ACA,,,,23.26883,72.58415,23.28672,,,10,03-07-2018 10:03
168,ADI,GNC-KLL,,009/14,ACC,,,,23.2685,72.58356,22.21992,,,9,03-07-2018 10:02
169,ADI,GNC-KLL,,009/13,ACA,,,,23.2682,72.58302,22.7076,,,9,03-07-2018 10:00
170,ADI,GNC-KLL,,009/12,,,,,23.2679,72.58247,23.37816,,,9,03-07-2018 09:59
171,ADI,GNC-KLL,,009/11,,LC NO 8,,,23.26766,72.58203,23.19528,,,9,03-07-2018 09:57
172,ADI,GNC-KLL,,009/10,,,,,23.26731,72.58146,22.64664,,,10,03-07-2018 09:56
173,ADI,GNC-KLL,,009/9,,,,,23.26703,72.58094,22.7076,,,10,03-07-2018 09:55
174,ADI,GNC-KLL,,009/8,,,,,23.2667,72.58039,22.37232,,,9,03-07-2018 09:53
175,ADI,GNC-KLL,,009/7,,,,,23.26638,72.57982,22.18944,,,10,03-07-2018 09:52
176,ADI,GNC-KLL,,009/6,ATD,,,,23.26606,72.57926,21.73224,,,10,03-07-2018 09:50
177,ADI,GNC-KLL,,009/5,UIOL,,,,23.26584,72.57886,21.57984,,,9,03-07-2018 09:49
178,ADI,GNC-KLL,,009/4,UIOL,,,,23.26552,72.57832,22.34184,,,8,03-07-2018 09:48
179,ADI,GNC-KLL,,009/3,ATD,,,,23.26528,72.57787,23.43912,,,10,03-07-2018 09:46
180,ADI,GNC-KLL,,009/2,,,,,23.26495,72.57732,23.3172,,,10,03-07-2018 09:45
181,ADI,GNC-KLL,,009/1,,,,,23.26463,72.57674,22.73808,,,11,03-07-2018 09:44
182,ADI,GNC-KLL,,008/16,,,,,23.26432,72.57622,23.56104,,,9,03-07-2018 09:42
183,ADI,GNC-KLL,,008/15,,,,,23.26401,72.57566,23.22576,,,10,03-07-2018 09:41
184,ADI,GNC-KLL,,008/14,,,,,23.26369,72.57509,22.89048,,,11,03-07-2018 09:40
185,ADI,GNC-KLL,,008/13,ACA,,,,23.26338,72.57456,21.9456,,,11,03-07-2018 09:39
186,ADI,GNC-KLL,,008/12,ACC,,,,23.26307,72.57402,22.79904,,,10,03-07-2018 09:37
187,ADI,GNC-KLL,,008/11,ACA,,,,23.26274,72.57345,23.74392,,,11,03-07-2018 09:36
188,ADI,GNC-KLL,,008/10,,,,,23.26244,72.57294,23.68296,,,11,03-07-2018 09:35
189,ADI,GNC-KLL,,008/9,,,,,23.2621,72.57237,25.35936,,,9,03-07-2018 09:32
190,ADI,GNC-KLL,,008/8,,,,,23.2618,72.57179,24.41448,,,9,03-07-2018 09:30
191,ADI,GNC-KLL,,008/7,,,,,23.26151,72.57128,23.4696,,,9,03-07-2018 09:29
192,ADI,GNC-KLL,,008/6,ATD,,,,23.26118,72.57072,23.37816,,,9,03-07-2018 09:27
193,ADI,GNC-KLL,,008/5,IOL,,,,23.26086,72.57014,26.30424,,,7,03-07-2018 09:26
194,ADI,GNC-KLL,,008/4,IOL,SSP AOARAJMATI,,,23.26057,72.56964,24.59736,,,7,03-07-2018 09:25
195,ADI,GNC-KLL,,008/3,,LC NO 7,,,23.26028,72.56918,24.44496,,,6,03-07-2018 09:23
196,ADI,GNC-KLL,,008/2,ATD,,,,23.26008,72.56879,23.89632,,,6,03-07-2018 09:22
197,ADI,GNC-KLL,,008/1,ATD,,,,23.25983,72.56844,24.26208,,,4,03-07-2018 09:21
198,ADI,GNC-KLL,,007/19,T-OUT,,,,23.23733,72.50745,0,,,2,03-06-2018 10:50
199,ADI,GNC-KLL,,007/18,,,,,23.25926,72.56788,0,,,3,03-06-2018 10:51
200,ADI,GNC-KLL,,007/17,,,,,23.25927,72.56743,21.70176,,,6,03-06-2018 10:54
201,ADI,GNC-KLL,,007/16,,,,,23.25904,72.56703,24.96312,,,7,03-06-2018 10:55
202,ADI,GNC-KLL,,007/15,ACA,,,,23.25875,72.56649,25.72512,,,7,03-06-2018 10:57
203,ADI,GNC-KLL,,007/14,ACC,,,,23.25844,72.56592,25.08504,,,8,03-06-2018 10:59
204,ADI,GNC-KLL,,007/13,ACA,,,,23.2581,72.56536,25.17648,,,7,03-06-2018 11:00
205,ADI,GNC-KLL,,007/12,,,,,23.25785,72.56488,25.20696,,,8,03-06-2018 11:01
206,ADI,GNC-KLL,,007/11,,,,,23.25758,72.56434,23.34768,,,6,03-06-2018 11:02
207,ADI,GNC-KLL,,007/10,,,,,23.25724,72.56384,25.146,,,7,03-06-2018 11:04
208,ADI,GNC-KLL,,007/9,,,,,23.25696,72.56334,23.34768,,,8,03-06-2018 11:05
209,ADI,GNC-KLL,,007/8,,,,,23.25667,72.56278,21.1836,,,8,03-06-2018 11:06
210,ADI,GNC-KLL,,007/7,IOL,,,,23.25639,72.56221,21.73224,,,6,03-06-2018 11:07
211,ADI,GNC-KLL,,007/6,IOL/SM 241,,,,23.2561,72.56184,21.0312,,,6,03-06-2018 11:08
212,ADI,GNC-KLL,,007/5,IOL,,,,23.25594,72.56146,21.27504,,,8,03-06-2018 11:09
213,ADI,GNC-KLL,,007/4,,,,,23.2557,72.56116,24.44496,,,9,03-06-2018 11:12
214,ADI,GNC-KLL,,007/3,ATD,,,,23.2555,72.56081,23.10384,,,8,03-06-2018 11:13
215,ADI,GNC-KLL,,007/2,UIOL,,,,23.25527,72.56038,22.46376,,,10,03-06-2018 11:14
216,ADI,GNC-KLL,,007/1,ATD,,,,23.25503,72.55994,19.78152,,,5,03-06-2018 11:15
217,ADI,GNC-KLL,,006/16,ACA,,,,23.2547,72.55939,21.9456,,,10,03-06-2018 11:17
218,ADI,GNC-KLL,,006/15,ACC,LC NO 6,,,23.25449,72.55904,21.39696,,,7,03-06-2018 11:18
219,ADI,GNC-KLL,,006/14,SM 242,,,,23.25425,72.55862,22.21992,,,10,03-06-2018 11:19
220,ADI,GNC-KLL,,006/13,IOL,,,,23.25402,72.55821,22.34184,,,11,03-06-2018 11:20
221,ADI,GNC-KLL,,006/12,IOL,,,,23.25379,72.55779,23.13432,,,7,03-06-2018 11:21
222,ADI,GNC-KLL,,006/11,ATD,,,,23.25348,72.55732,21.73224,,,10,03-06-2018 11:22
223,ADI,GNC-KLL,,006/10,,,,,23.2532,72.55675,21.39696,,,11,03-06-2018 11:24
224,ADI,GNC-KLL,,006/9,,,,,23.25289,72.55619,20.36064,,,11,03-06-2018 11:25
225,ADI,GNC-KLL,,006/8,,,,,23.25262,72.55566,20.90928,,,8,03-06-2018 11:26
226,ADI,GNC-KLL,,006/7,,,,,23.25224,72.55511,22.03704,,,6,03-06-2018 11:28
227,ADI,GNC-KLL,,006/6,ATD,,,,23.25191,72.55454,22.52472,,,9,03-06-2018 11:29
228,ADI,GNC-KLL,,006/5,UIOL,,,,23.25164,72.554,22.73808,,,11,03-06-2018 11:30
229,ADI,GNC-KLL,,006/4,UIOL,,,,23.25131,72.55345,21.73224,,,9,03-06-2018 11:32
230,ADI,GNC-KLL,,006/3,ATD,,,,23.251,72.5529,21.42744,,,7,03-06-2018 11:33
231,ADI,GNC-KLL,,006/2,,,,,23.25066,72.55238,21.61032,,,9,03-06-2018 11:34
232,ADI,GNC-KLL,,006/1,,LC NO 5,,,23.25044,72.55195,22.46376,,,11,03-06-2018 11:35
233,ADI,GNC-KLL,,005/16,,,,,23.25019,72.55145,22.86,,,11,03-06-2018 11:37
234,ADI,GNC-KLL,,005/15,,,,,23.24992,72.551,22.86,,,9,03-06-2018 11:38
235,ADI,GNC-KLL,,005/14,,,,,23.24964,72.55052,22.7076,,,9,03-06-2018 11:39
236,ADI,GNC-KLL,,005/13,,LC NO 4,,,23.24938,72.55008,22.92096,,,10,03-06-2018 11:40
237,ADI,GNC-KLL,,005/12,,,,,23.24908,72.54962,20.69592,,,11,03-06-2018 11:54
238,ADI,GNC-KLL,,005/11,ACA,,,,23.24877,72.549,22.098,,,11,03-06-2018 11:56
239,ADI,GNC-KLL,,005/10,ACC,,,,23.24844,72.54844,21.45792,,,5,03-06-2018 11:57
240,ADI,GNC-KLL,,005/9,ACA,,,,23.2481,72.54788,0,,,3,03-06-2018 11:58
241,ADI,GNC-KLL,,005/8,,,,,23.24782,72.54741,21.12264,,,9,03-06-2018 11:59
242,ADI,GNC-KLL,,005/7,,,,,23.2475,72.54684,23.59152,,,9,03-06-2018 12:00
243,ADI,GNC-KLL,,005/6,,,,,23.2472,72.54627,24.26208,,,9,03-06-2018 12:01
244,ADI,GNC-KLL,,005/5,,,,,23.24686,72.54573,23.43912,,,10,03-06-2018 12:03
245,ADI,GNC-KLL,,005/4,,,,,23.24657,72.54514,23.59152,,,8,03-06-2018 12:04
246,ADI,GNC-KLL,,005/3,,LC NO 3,,,23.24628,72.54463,23.25624,,,10,03-06-2018 12:05
247,ADI,GNC-KLL,,005/2,ACA,,,,23.24598,72.54421,22.5552,,,8,03-06-2018 12:06
248,ADI,GNC-KLL,,005/1,,,,,23.24572,72.54369,23.59152,,,7,03-06-2018 12:07
249,ADI,GNC-KLL,,004/16,,,,,23.24545,72.54316,23.34768,,,7,03-06-2018 12:08
250,ADI,GNC-KLL,,004/15,ATD,,,,23.24518,72.54267,21.27504,,,6,03-06-2018 12:09
251,ADI,GNC-KLL,,004/14,,,,,23.24486,72.54217,23.19528,,,6,03-06-2018 12:11
252,ADI,GNC-KLL,,004/13,,,,,23.24453,72.5416,23.07336,,,10,03-06-2018 12:12
253,ADI,GNC-KLL,,004/12,,,,,23.24423,72.54104,23.68296,,,9,03-06-2018 12:13
254,ADI,GNC-KLL,,004/11,,,,,23.24394,72.54052,23.07336,,,10,03-06-2018 12:14
255,ADI,GNC-KLL,,004/10,ATD,,,,23.24361,72.53996,22.67712,,,9,03-06-2018 12:15
256,ADI,GNC-KLL,,004/9,UIOL,,,,23.24328,72.5394,22.58568,,,11,03-06-2018 12:17
257,ADI,GNC-KLL,,004/8,UIOL,,,,23.24297,72.53887,22.58568,,,9,03-06-2018 12:18
258,ADI,GNC-KLL,,004/7,ATD,,,,23.24264,72.5383,22.76856,,,9,03-06-2018 12:19
259,ADI,GNC-KLL,,004/6,,,,,23.24234,72.53774,22.61616,,,8,03-06-2018 12:20
260,ADI,GNC-KLL,,004/5,,,,,23.24204,72.53723,21.336,,,6,03-06-2018 12:22
261,ADI,GNC-KLL,,004/4,,,,,23.24171,72.53664,21.82368,,,8,03-06-2018 12:23
262,ADI,GNC-KLL,,004/3,,,,,23.24141,72.53614,21.9456,,,9,03-06-2018 12:24
263,ADI,GNC-KLL,,004/2,,,,,23.24106,72.53557,21.61032,,,10,03-06-2018 12:25
264,ADI,GNC-KLL,,004/1,,,,,23.24077,72.53502,23.37816,,,8,03-06-2018 12:27
265,ADI,GNC-KLL,,003/15,ACA,,,,23.24046,72.53449,23.50008,,,9,03-06-2018 12:28
266,ADI,GNC-KLL,,003/14,ACC,,,,23.24016,72.53393,23.10384,,,8,03-06-2018 12:29
267,ADI,GNC-KLL,,003/13,ACA,LC NO 2,,,23.23986,72.53343,23.98776,,,10,03-06-2018 12:30
268,ADI,GNC-KLL,,003/12,,,,,23.23958,72.5329,24.01824,,,9,03-06-2018 12:37
269,ADI,GNC-KLL,,003/11,,,,,23.23924,72.53234,23.07336,,,10,03-06-2018 12:40
270,ADI,GNC-KLL,,003/10,,,,,23.23894,72.53183,22.82952,,,9,03-06-2018 12:41
271,ADI,GNC-KLL,,003/9,,,,,23.23862,72.53123,22.89048,,,10,03-06-2018 12:42
272,ADI,GNC-KLL,,003/8,,,,,23.23831,72.53072,24.41448,,,8,03-06-2018 12:43
273,ADI,GNC-KLL,,003/7,,,,,23.23798,72.53014,22.46376,,,9,03-06-2018 12:44
274,ADI,GNC-KLL,,003/6,ATD,,,,23.23766,72.52958,21.97608,,,10,03-06-2018 12:46
275,ADI,GNC-KLL,,003/5,UIOL,,,,23.23736,72.52906,22.12848,,,9,03-06-2018 12:47
276,ADI,GNC-KLL,,003/4,UIOL,,,,23.23702,72.5285,21.42744,,,9,03-06-2018 12:48
277,ADI,GNC-KLL,,003/3,ATD,,,,23.23673,72.52799,21.51888,,,9,03-06-2018 12:49
278,ADI,GNC-KLL,,003/2,,,,,23.23642,72.52743,21.70176,,,10,03-06-2018 12:50
279,ADI,GNC-KLL,,003/1,,,,,23.23609,72.52687,21.73224,,,9,03-06-2018 12:52
280,ADI,GNC-KLL,,002/18,,,,,23.2358,72.52632,22.03704,,,9,03-06-2018 12:53
281,ADI,GNC-KLL,,002/17,,,,,23.23548,72.52576,22.15896,,,9,03-06-2018 12:55
282,ADI,GNC-KLL,,002/16,ACA,,,,23.23517,72.5252,21.57984,,,10,03-06-2018 12:56
283,ADI,GNC-KLL,,002/15,ACC,,,,23.23486,72.52468,22.37232,,,10,03-06-2018 12:58
284,ADI,GNC-KLL,,002/14,ACA,,,,23.23461,72.52417,21.7932,,,9,03-06-2018 12:59
285,ADI,GNC-KLL,,002/13,,,,,23.23437,72.52373,21.39696,,,10,03-06-2018 13:00
286,ADI,GNC-KLL,,002/12,,,,,23.23414,72.52319,22.73808,,,9,03-06-2018 13:01
287,ADI,GNC-KLL,,002/11,,,,,23.23396,72.52271,21.1836,,,10,03-06-2018 13:02
288,ADI,GNC-KLL,,002/10,,,,,23.23378,72.52218,21.336,,,9,03-06-2018 13:03
289,ADI,GNC-KLL,,002/9,,,,,23.23363,72.52169,20.36064,,,10,03-06-2018 13:04
290,ADI,GNC-KLL,,002/8,,,,,23.23347,72.52113,20.2692,,,10,03-06-2018 13:05
291,ADI,GNC-KLL,,002/7,,,,,23.23335,72.52058,20.33016,,,10,03-06-2018 13:06
292,ADI,GNC-KLL,,002/6,,,,,23.23325,72.5201,18.19656,,,10,03-06-2018 13:07
293,ADI,GNC-KLL,,002/5,,,,,23.23319,72.51962,19.47672,,,10,03-06-2018 13:08
294,ADI,GNC-KLL,,002/4,ATD,,,,23.23313,72.51911,21.27504,,,7,03-06-2018 13:09
295,ADI,GNC-KLL,,002/3,UIOL,,,,23.23311,72.51868,20.60448,,,9,03-06-2018 13:10
296,ADI,GNC-KLL,,002/2,UIOL,,,,23.23311,72.51822,19.2024,,,10,03-06-2018 13:11
297,ADI,GNC-KLL,,002/1,UIOL,,,,23.23307,72.51772,16.85544,,,9,03-06-2018 13:13
298,ADI,GNC-KLL,,001/17,ATD,LC NO 1,,,23.23308,72.51716,20.81784,,,10,03-06-2018 13:14
299,ADI,GNC-KLL,,001/16,,,,,23.23316,72.51662,17.92224,,,10,03-06-2018 13:28
300,ADI,GNC-KLL,,001/15,,,,,23.23323,72.51613,17.00784,,,11,03-06-2018 13:29
301,ADI,GNC-KLL,,001/14,,,,,23.2333,72.51556,16.58112,,,11,03-06-2018 13:31
302,ADI,GNC-KLL,,001/13,,,,,23.23342,72.51503,15.24,,,8,03-06-2018 13:32
303,ADI,GNC-KLL,,001/12,,,,,23.23351,72.51448,17.19072,,,11,03-06-2018 13:33
304,ADI,GNC-KLL,,001/11,ACA,,,,23.23365,72.51392,19.17192,,,10,03-06-2018 13:34
305,ADI,GNC-KLL,,001/10,ACC,,,,23.2338,72.5134,18.22704,,,10,03-06-2018 13:35
306,ADI,GNC-KLL,,001/9,ACA,,,,23.23398,72.51288,16.73352,,,11,03-06-2018 13:36
307,ADI,GNC-KLL,,001/8,,,,,23.23418,72.51236,16.73352,,,7,03-06-2018 13:37
308,ADI,GNC-KLL,,001/7,,,,,23.23442,72.51184,15.66672,,,10,03-06-2018 13:38
309,ADI,GNC-KLL,,001/6,,,,,23.2346,72.51138,19.26336,,,10,03-06-2018 13:39
310,ADI,GNC-KLL,,001/5,,,,,23.23483,72.5108,22.15896,,,11,03-06-2018 13:40
311,ADI,GNC-KLL,,001/4,,,,,23.2351,72.51034,21.09216,,,11,03-06-2018 13:41
312,ADI,GNC-KLL,,001/3,ATD,,,,23.23542,72.50987,20.574,,,11,03-06-2018 13:42
313,ADI,GNC-KLL,,001/2,IOL,,,,23.2357,72.50945,21.6408,,,11,03-06-2018 13:43
314,ADI,GNC-KLL,,001/1,IOL ,,,,23.23601,72.50906,22.67712,,,11,03-06-2018 13:44
315,ADI,GNC-KLL,,KLL/1061,IOL/SM 243,,,,23.23635,72.50858,23.04288,,,11,03-06-2018 13:51
316,ADI,GNC-KLL,,KLL/1059,ATD,,,,23.23674,72.50814,20.36064,,,11,03-06-2018 13:52
317,ADI,GNC-KLL,,KLL/1057,,,,,23.23702,72.5078,20.93976,,,11,03-06-2018 13:53
318,ADI,GNC-KLL,,KLL/1055,,,,,23.23734,72.50746,20.7264,,,9,03-06-2018 13:54
319,ADI,GNC-KLL,,KLL/1053,,,,,23.23761,72.50714,21.76272,,,10,03-06-2018 13:55
320,ADI,GNC-KLL,,KLL/1051,,,,,23.23784,72.50688,21.21408,,,11,03-06-2018 13:56
321,ADI,GNC-KLL,,KLL/1049,,,,,23.2381,72.50669,22.21992,,,11,03-06-2018 13:57
322,ADI,GNC-KLL,,KLL/1047,,,,,23.23836,72.50651,23.50008,,,11,03-06-2018 13:58
323,ADI,GNC-KLL,,KLL/1045,,,,,23.23865,72.50632,22.12848,,,10,03-06-2018 13:58
324,ADI,GNC-KLL,,KLL/1043,,,,,23.23894,72.50618,22.37232,,,11,03-06-2018 13:59
325,ADI,GNC-KLL,,KLL/1041,,,,,23.2394,72.50595,21.54936,,,11,03-06-2018 14:00
326,ADI,GNC-KLL,,KLL/1039,,,,,23.23989,72.50571,21.45792,,,10,03-06-2018 14:01
